Name,Geometrie (EWKT),Verwaltungseinheit,Verwaltungsebene,Planungsregion,Anteil Wasserkraft an Stromproduktion EE (%),Anteil Wind an Stromproduktion EE (%),Anteil PV an Stromproduktion EE (%),Anteil Biomasse an Stromproduktion EE (%),Anteil Geothermie an Stromproduktion EE (%),Stromproduktion Wasserkraft 2021 (MWh/a),Stromproduktion Wind 2021 (MWh/a),Stromproduktion PV 2021 (MWh/a),Stromproduktion Biomasse 2021 (MWh/a),Stromproduktion Geothermie 2021 (MWh/a),Stromproduktion EE 2021 (MWh/a),Einwohnerzahl,Fläche (km²)
Salzweg,SRID=31468;POINT (4609408.1642575 5387484.46990091),275146,Gemeinde,12.0,39.7,0.0,35.4,24.9,0.0,10303.0,0.0,9203.0,6466.0,0.0,25972.0,6787.0,32
Sonnen,SRID=31468;POINT (4627003.475208638 5395544.142184343),275148,Gemeinde,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4016.0,0.0,0.0,4016.0,1428.0,16.5
Tettenweis,SRID=31468;POINT (4594213.520811474 5368034.167355933),275149,Gemeinde,12.0,21.0,0.0,59.4,19.6,0.0,1916.0,0.0,5405.0,1782.0,0.0,9103.0,1818.0,28.7
Thyrnau,SRID=31468;POINT (4613450.768215313 5387553.37595272),275150,Gemeinde,12.0,6.0,0.0,77.7,16.3,0.0,1103.0,0.0,14249.0,2994.0,0.0,18346.0,4220.0,33.8
Tiefenbach,SRID=31468;POINT (4603206.582937414 5388333.544785975),275151,Gemeinde,12.0,10.2,0.0,89.8,0.0,0.0,1486.0,0.0,13069.0,0.0,0.0,14555.0,6801.0,49.8
Tittling,SRID=31468;POINT (4601649.882687747 5399844.158433694),275152,Gemeinde,12.0,6.2,0.0,61.6,32.2,0.0,566.0,0.0,5604.0,2930.0,0.0,9100.0,4226.0,20.8
Untergriesbach,SRID=31468;POINT (4623266.853133717 5383098.45265003),275153,Gemeinde,12.0,94.4,0.0,4.5,1.2,0.0,343277.0,0.0,16231.0,4287.0,0.0,363794.0,6099.0,73.7
Vilshofen an der Donau,SRID=31468;POINT (4587412.2886505 5389190.141076548),275154,Gemeinde,12.0,5.3,0.0,43.1,51.6,0.0,3877.0,0.0,31493.0,37678.0,0.0,73048.0,17240.0,86.4
Wegscheid,SRID=31468;POINT (4632014.665390295 5386397.9057882475),275156,Gemeinde,12.0,23.5,2.9,49.3,24.2,0.0,4193.0,516.0,8790.0,4317.0,0.0,17816.0,5483.0,80.8
Windorf,SRID=31468;POINT (4590251.81235508 5388154.3129506195),275159,Gemeinde,12.0,0.19,0.0,72.9,26.9,0.0,31.7,0.0,12382.0,4567.0,0.0,16980.0,4939.0,57
Witzmannsberg,SRID=31468;POINT (4604119.216484408 5398607.800239828),275160,Gemeinde,12.0,0.0,0.0,41.2,58.8,0.0,0.0,0.0,2864.0,4089.0,0.0,6953.0,1545.0,18.8
Regen,SRID=31468;POINT (4580552.007332962 5432306.53713606),276000,Landkreis,unbekannt,35.3,0.0,53.5,11.1,0.0,69185.0,0.0,104862.0,21831.0,0.0,195879.0,77176.0,976
Achslach,SRID=31468;POINT (4568582.633478966 5426414.894948056),276111,Gemeinde,12.0,15.6,0.0,84.4,0.0,0.0,342.0,0.0,1848.0,0.0,0.0,2190.0,980.0,30.1
Arnbruck,SRID=31468;POINT (4572956.520272203 5444019.548506634),276113,Gemeinde,12.0,11.6,0.0,51.9,36.5,0.0,1111.0,0.0,4965.0,3494.0,0.0,9570.0,1968.0,37.9
Bayerisch Eisenstein,SRID=31468;POINT (4587874.454751387 5443475.134651215),276115,Gemeinde,12.0,90.3,0.0,9.7,0.0,0.0,3785.0,0.0,408.0,0.0,0.0,4193.0,1018.0,47.4
Bischofsmais,SRID=31468;POINT (4579374.079722195 5420656.223545294),276116,Gemeinde,12.0,15.5,0.0,84.5,0.0,0.0,715.0,0.0,3907.0,0.0,0.0,4623.0,3243.0,46.4
Bodenmais,SRID=31468;POINT (4580858.850189266 5437277.201071911),276117,Gemeinde,12.0,62.9,0.0,37.1,0.0,0.0,3127.0,0.0,1846.0,0.0,0.0,4973.0,3581.0,45.4
Böbrach,SRID=31468;POINT (4575789.635653324 5435930.698588876),276118,Gemeinde,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1847.0,0.0,0.0,1847.0,1606.0,27.6
Drachselsried,SRID=31468;POINT (4574086.828726978 5441498.23729458),276120,Gemeinde,12.0,54.9,0.0,39.5,5.5,0.0,4329.0,0.0,3115.0,436.0,0.0,7880.0,2417.0,41.8
Frauenau,SRID=31468;POINT (4595324.420424142 5428910.569827831),276121,Gemeinde,12.0,74.9,0.0,25.1,0.0,0.0,5252.0,0.0,1757.0,0.0,0.0,7009.0,2675.0,60.2
Geiersthal,SRID=31468;POINT (4571489.1673523495 5434980.771087003),276122,Gemeinde,12.0,68.7,0.0,25.6,5.7,0.0,11643.0,0.0,4332.0,965.0,0.0,16940.0,2200.0,22.4
Gotteszell,SRID=31468;POINT (4570930.46888244 5425436.845581855),276123,Gemeinde,12.0,2.7,0.0,97.3,0.0,0.0,40.5,0.0,1486.0,0.0,0.0,1527.0,1217.0,9.2
Kirchberg i.Wald,SRID=31468;POINT (4586915.798572171 5418723.996729546),276126,Gemeinde,12.0,1.6,0.0,98.4,0.0,0.0,125.0,0.0,7693.0,0.0,0.0,7818.0,4403.0,48.9
Kirchdorf i.Wald,SRID=31468;POINT (4592933.919021818 5419951.351539867),276127,Gemeinde,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4132.0,0.0,0.0,4132.0,2095.0,30.6
Kollnburg,SRID=31468;POINT (4563086.649553349 5434865.386713928),276128,Gemeinde,12.0,13.5,0.0,70.0,16.5,0.0,1289.0,0.0,6683.0,1571.0,0.0,9544.0,2771.0,59.6
Langdorf,SRID=31468;POINT (4584051.641857334 5431348.891656501),276129,Gemeinde,12.0,32.5,0.0,67.5,0.0,0.0,1323.0,0.0,2745.0,0.0,0.0,4068.0,1824.0,34.4
Lindberg,SRID=31468;POINT (4591833.538625673 5433924.18793106),276130,Gemeinde,12.0,41.9,0.0,58.1,0.0,0.0,1066.0,0.0,1481.0,0.0,0.0,2547.0,2292.0,109
Patersdorf,SRID=31468;POINT (4572244.847844891 5431305.088146484),276134,Gemeinde,12.0,9.3,0.0,90.7,0.0,0.0,328.0,0.0,3210.0,0.0,0.0,3539.0,1764.0,17.1
Prackenbach,SRID=31468;POINT (4560558.1366907675 5440020.888762237),276135,Gemeinde,12.0,68.0,0.0,26.1,5.8,0.0,12657.0,0.0,4864.0,1088.0,0.0,18610.0,2763.0,40.1
Regen,SRID=31468;POINT (4582560.126623242 5426488.189502048),276138,Gemeinde,12.0,26.9,0.0,61.7,11.4,0.0,7040.0,0.0,16120.0,2972.0,0.0,26132.0,10868.0,65.2
Rinchnach,SRID=31468;POINT (4588003.436235329 5424277.666631148),276139,Gemeinde,12.0,1.3,0.0,37.8,60.8,0.0,171.0,0.0,4898.0,7879.0,0.0,12948.0,3057.0,40.3
Ruhmannsfelden,SRID=31468;POINT (4572286.304808205 5427802.724035677),276142,Gemeinde,12.0,3.8,0.0,96.2,0.0,0.0,120.0,0.0,3044.0,0.0,0.0,3164.0,2032.0,5.8
Teisnach,SRID=31468;POINT (4572601.898672101 5434134.5418986175),276143,Gemeinde,12.0,53.0,0.0,34.6,12.4,0.0,6526.0,0.0,4254.0,1528.0,0.0,12308.0,2990.0,25.8
Viechtach,SRID=31468;POINT (4564682.740860776 5438671.15730768),276144,Gemeinde,12.0,35.4,0.0,64.6,0.0,0.0,4845.0,0.0,8830.0,0.0,0.0,13675.0,8379.0,62.5
Zachenberg,SRID=31468;POINT (4573267.921381874 5426068.551414065),276146,Gemeinde,12.0,8.1,0.0,91.9,0.0,0.0,512.0,0.0,5790.0,0.0,0.0,6302.0,2049.0,27.3
Zwiesel,SRID=31468;POINT (4590334.090857033 5431542.288942989),276148,Gemeinde,12.0,27.4,0.0,54.3,18.4,0.0,2827.0,0.0,5607.0,1898.0,0.0,10333.0,8984.0,41.2
