Name,Geometrie (EWKT),Verwaltungseinheit,Verwaltungsebene,Planungsregion,Anteil EE am Stromverbrauch (%),Stromverbrauch (MWh/a),Einwohnerzahl,Fläche (km²),Stand
Bruck,SRID=31468;POINT (4493225.865954345 5320329.139685647),175114,Gemeinde,14.0,527.0,2764.0,1336.0,21.6,31.12.2022
Ebersberg,SRID=31468;POINT (4497782.889466009 5326707.320507773),175115,Gemeinde,14.0,27.9,52945.0,12386.0,40.9,31.12.2022
Egmating,SRID=31468;POINT (4484976.401403465 5318519.135155312),175116,Gemeinde,14.0,33.6,5306.0,2412.0,19.2,31.12.2022
Forstinning,SRID=31468;POINT (4493608.356404727 5336731.884986629),175118,Gemeinde,14.0,57.7,16194.0,3992.0,12.3,31.12.2022
Frauenneuharting,SRID=31468;POINT (4503704.720883729 5322410.252802845),175119,Gemeinde,14.0,84.4,3883.0,1586.0,22.7,31.12.2022
Glonn,SRID=31468;POINT (4490203.4441139 5316561.53079495),175121,Gemeinde,14.0,37.4,20079.0,5348.0,30.2,31.12.2022
Grafing b.München,SRID=31468;POINT (4497579.648764983 5323033.159125504),175122,Gemeinde,14.0,39.3,43092.0,14285.0,29.6,31.12.2022
Hohenlinden,SRID=31468;POINT (4499848.0787759 5335479.709272856),175123,Gemeinde,14.0,30.9,13218.0,3383.0,17.3,31.12.2022
Kirchseeon,SRID=31468;POINT (4491745.902065777 5325976.129657581),175124,Gemeinde,14.0,12.2,30186.0,10764.0,17.9,31.12.2022
Markt Schwaben,SRID=31468;POINT (4490097.515381173 5339224.388947197),175127,Gemeinde,14.0,8.1,63516.0,13853.0,10.9,31.12.2022
Moosach,SRID=31468;POINT (4490830.669690363 5321619.165571283),175128,Gemeinde,14.0,77.6,3775.0,1500.0,18.2,31.12.2022
Oberpframmern,SRID=31468;POINT (4486163.862129026 5320413.114174393),175131,Gemeinde,14.0,23.7,8981.0,2497.0,18.5,31.12.2022
Vaterstetten,SRID=31468;POINT (4483188.383334409 5330410.3601873005),175132,Gemeinde,14.0,27.3,77629.0,25530.0,34.1,31.12.2022
Pliening,SRID=31468;POINT (4485130.964463916 5340032.741378509),175133,Gemeinde,14.0,70.2,17014.0,5962.0,22.8,31.12.2022
Poing,SRID=31468;POINT (4486586.214737343 5337043.067430983),175135,Gemeinde,14.0,13.0,62106.0,16404.0,12.9,31.12.2022
Emmering,SRID=31468;POINT (4504299.971513022 5317759.6169619365),175136,Gemeinde,14.0,121.0,3343.0,1515.0,17.2,31.12.2022
Steinhöring,SRID=31468;POINT (4502397.756590182 5327613.966722119),175137,Gemeinde,14.0,35.0,12899.0,4087.0,36.3,31.12.2022
Zorneding,SRID=31468;POINT (4487231.956730827 5327665.049040368),175139,Gemeinde,14.0,13.2,23958.0,9369.0,23.8,31.12.2022
Anzinger Forst,SRID=31468;POINT (4492895.190050726 5333072.546420058),175451,Gemeinde,14.0,0.0,unbekannt,unbekannt,31.0,31.12.2022
Ebersberger Forst,SRID=31468;POINT (4497459.795678154 5332789.360724568),175452,Gemeinde,14.0,0.0,unbekannt,unbekannt,17.8,31.12.2022
Eglhartinger Forst,SRID=31468;POINT (4491598.293736385 5329016.70391954),175453,Gemeinde,14.0,0.0,unbekannt,unbekannt,26.8,31.12.2022
Eichstätt,SRID=31468;POINT (4453965.220968488 5418045.295259953),176000,Landkreis,unbekannt,78.5,759119.0,135591.0,1214.0,31.12.2022
Adelschlag,SRID=31468;POINT (4443078.2067025155 5411586.974582674),176111,Gemeinde,10.0,288.0,6928.0,3078.0,51.9,31.12.2022
